EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
407,Etc/GMT-8,False,,117,ef7a2733d4be07f8959092bed6dd89c7,493311c6,7c613895bfd28e36dccf452071cc2d09009561feceb3e246fe14edb7eeef330d5b70119c5e5b1a84edac9180dd40e33a92b4f95956afd016b98a8d184f25b890,00055837,117
408,Etc/GMT-9,False,,117,a56cfa0fb4ad4b0cf1919b9c665f4d63,cb67f3d8,7795cf95c870a0ae1f936d135d0420461e2225188d09bfce2e73fbcdf20c1bc712b6bae3a54e2269916cc6cd7b0dcdc5dfa9694076e0416ce9a77ad3d7aa8f42,000558AC,117
409,Etc/GMT+0,True,Etc/GMT,114,9cd2aef183c064f630dfcf6018551374,ab5e34a6,dafa0cb9d0a8e0ff75a19be499751ad85372aafa856ff06dd68ecf2b1c5578bb98a040becaecf0aed2c3e4ff7372ff200fe7614334756d19fe79dd61c01d4e92,00055244,114
410,Etc/GMT+1,False,,116,079e732c9a92b07b0ea061d090520647,980a9cfd,a97a75742ef849f37cd2ac95d4a4ab4963771fa6c82dc9580fbc0da2692351694168fc72325cdd75c3208eda16ca6e88787cb8277b587fe69416c4c09de9c95f,00055921,116
411,Etc/GMT+10,False,,117,f91272d2141d695b82d0c3409779651a,372b4d1c,b5e3fae8c98aa2c03d36b211d7d1d2da242306b6e846a8530e8f049724f6a39814608e24ee3a54fdf35990b27cb2d375ca63ec8dd173b7f1c8ca77477d6ac3bc,00055995,117
412,Etc/GMT+11,False,,117,0b30436c18d0ea2dc1ffe64bad8971ee,0d95163c,dd918729703f23cbd1e6870c9db4a9ba215a40a8641448a7c72d647f149055d4b4ad7073ac484ddb57213929f37947a93795ba195f7f76f455513ca81e4b3dd2,00055A0A,117
413,Etc/GMT+12,False,,117,0c5b82332b2e09dd7c18b8ad3c36f5fa,d803f522,da05d3fe5f3a61c3f813fa7ce06c7b6fd4d678246b0a6cb158d461cc082b7e3457588c799e67e0c9a5c81cedc1456591c8f42190e7e3672c3d208f04b863bf90,00055A7F,117
414,Etc/GMT+2,False,,116,414f136d6c18c1a5e1eaeca12cd020db,3cab3374,67f000a6044e666eb7f74b78b6f9cc4be70abfa3a57a7c8b56885548322a1152d2fce92e19be5728e1f282c4653fd1c4a0a1c1d92519ddf39918ed1b6dd8ea0d,00055AF4,116
415,Etc/GMT+3,False,,116,7d065e631113c1e3f46473ed62c87bae,b99a8b10,41d4339e169941d1c7aa1bc46efb8a40e8e0b671e1307babc39ee8c5b4bd9bff4be8ffc78508096b155c4272f7a5e7dc6391039e542483ae28ff5b1d1919fb93,00055B68,116
416,Etc/GMT+4,False,,116,327a576fa70892b210346cd183343c50,ae996a27,423bb077cab9c18c3baba8c3e60050d8654c55ae48bdb6ddd2cb1950768f06f85e2245a5dbc08c2594079b17372309ee62159dcf7ab1b1d5abe2b4b5897ca3ac,00055BDC,116
417,Etc/GMT+5,False,,116,51fb6d9d2b38c085bf54af3318d4d0ed,db2ab327,414ca80fa70adc1a4eb0bbd23bed4f2274e94b1a3c7469c8897af34236c5297a2e5ae7fd6f15661b67175c1df8fcc82133e9f6366e3209ae7a4e8a2558372626,00055C50,116
418,Etc/GMT+6,False,,116,d1d9438a0280ed95a9b44dbfb8bcd30b,7f8b1cae,bc6b5599479e46da152ae3ba74aece829cd03a5ac80727f8e79d773a9c5dd01d30ef01aa9c752a28b0c444fd3bdf1ebe0d769c22760ccb01f1795c135149f128,00055CC4,116
419,Etc/GMT+7,False,,116,022a9ec4d0744140fcb3fda6cbccc92e,fabaa4ca,8c824c27f7e88f1afc35d3e7154dab3cdff6f4f970dd6b79c78587a610155538c51f92e89a6ee1a98af7f70d2dae70cc95d39ca981daa4671b430d0ff547ce4e,00055D38,116
420,Etc/GMT+8,False,,116,58f5cb8e767c5556b9477143a254125a,518cdec0,50700ae326afc41cdddafb19a6453ef2b4a239a880940b4d7c06c4dde36033014669daeb9ddeab4ff7c616c6185fea675a2bac82f7345da66b8b1e50a32979f0,00055DAC,116
421,Etc/GMT+9,False,,116,ef682349d1548787c693d7b966faed96,d32d6eb4,7c9c288dac8dfee757bfd00953c7c5878792116cd773fe2265f62c70d265cd5d9fa6ed2c8018cf40bc1b330eb542311cac345254a6e75ed0c713b8f4fd3d0625,00055E20,116
422,Etc/GMT0,True,Etc/GMT,114,9cd2aef183c064f630dfcf6018551374,ab5e34a6,dafa0cb9d0a8e0ff75a19be499751ad85372aafa856ff06dd68ecf2b1c5578bb98a040becaecf0aed2c3e4ff7372ff200fe7614334756d19fe79dd61c01d4e92,00055244,114
423,Etc/Greenwich,True,Etc/GMT,114,9cd2aef183c064f630dfcf6018551374,ab5e34a6,dafa0cb9d0a8e0ff75a19be499751ad85372aafa856ff06dd68ecf2b1c5578bb98a040becaecf0aed2c3e4ff7372ff200fe7614334756d19fe79dd61c01d4e92,00055244,114
424,Etc/UCT,False,,114,38bb24ba4d742dd6f50c1cba29cd966a,362e6afa,194867d0cf66c2de4969dbfeb58c775964ecb2132acdc1b000b5ef0998cefde4a2979ffc04ec8b7dcb430e43326a79d9cedb28ecea184345aa7d742eaf9234ac,00055E94,114
425,Etc/Universal,True,Etc/UCT,114,38bb24ba4d742dd6f50c1cba29cd966a,362e6afa,194867d0cf66c2de4969dbfeb58c775964ecb2132acdc1b000b5ef0998cefde4a2979ffc04ec8b7dcb430e43326a79d9cedb28ecea184345aa7d742eaf9234ac,00055E94,114
426,Etc/UTC,True,Etc/UCT,114,38bb24ba4d742dd6f50c1cba29cd966a,362e6afa,194867d0cf66c2de4969dbfeb58c775964ecb2132acdc1b000b5ef0998cefde4a2979ffc04ec8b7dcb430e43326a79d9cedb28ecea184345aa7d742eaf9234ac,00055E94,114
427,Etc/Zulu,True,Etc/UCT,114,38bb24ba4d742dd6f50c1cba29cd966a,362e6afa,194867d0cf66c2de4969dbfeb58c775964ecb2132acdc1b000b5ef0998cefde4a2979ffc04ec8b7dcb430e43326a79d9cedb28ecea184345aa7d742eaf9234ac,00055E94,114
428,Europe/Amsterdam,True,CET,2933,355f0d3e2a3ee15ea78526f5eeb0cf7d,dcaad861,96a5fa48a15167e55ffad5b0241c90caeb7f0433ad62dd43463a4c52c25c59f7357681cb586fc52e812e8173adc12cec9eff66d27d5f41e19d55f6c1fce12937,000527AA,2933
429,Europe/Andorra,False,,1742,90276d028e1681749042a17e0ace5541,519bb9de,ee9a07b369948b96c692885baaababd223cc1e1d50d138bd11b93d84a575909e41d71400f0989f3d58b04e927365403f4320866073bad9ea51e250e5ba19d426,00055F06,1742
430,Europe/Astrakhan,False,,1151,aee7ab65c960e6d6dcac4de0c5549217,c0ef0df5,6fedef173d4c8bd75577357f0d22ea971b1c9547c43f24b8dee4adc7514e09fcab2a1440f5f96433301303328ec29d6cf5d4db76f2dffdfa6fc01b0470a84865,000565D4,1151
431,Europe/Athens,True,EET,2262,140cc26d867773460b13e90c5c721e65,a8936752,6523692e14d0e83386ef27933efccb854852ddca064518e8841a407d07e5e3e9a40af92bbaab9f036336749b41b4ce3ba0196c879924c73134a2f1a9a30be767,00053BCA,2262
432,Europe/Belfast,False,,3664,a40006ee580ef0a4b6a7b925fee2e11f,b40ff720,316ecacc34136294ce11dcb6d0f292570ad0515f799fd59fbff5e7121799860b1347d802b6439a291f029573a3715e043009e2c1d5275f38957be9e04f92e62e,00056A53,3664
433,Europe/Belgrade,False,,1920,6213fc0a706f93af6ff6a831fecbc095,c34ac6cd,8149de3fd09f8e0f5a388f546ffe8823bdcda662d3e285b5cebc92738f0c6548ccb6ed2a5d086fd738cb3edc8e9e1f81c5e2e48edb0571e7ea7f131675b99327,000578A3,1920
434,Europe/Berlin,True,Arctic/Longyearbyen,2298,7db6c3e5031eaf69e6d1e5583ab2e870,30969134,688eaa6d3001192addaa49d4e15f57aa59f3dd9dc511c063aa2687f36ffd28ffef01d937547926be6477bba8352a8006e8295ee77690be935f76d977c3ea12fe,000392F9,2298
435,Europe/Bratislava,False,,2301,d17ad2f182cef93488ec1bcda9d98d92,f0ab39e5,c8b9e8c70e1d649c925254c1dfbfba311a640a43255d30626e4decaa8123c11a0428dba1518e5f121bbfd61b313ba56d9f891726b040576d8f818459ea42ad57,00058023,2301
436,Europe/Brussels,True,CET,2933,355f0d3e2a3ee15ea78526f5eeb0cf7d,dcaad861,96a5fa48a15167e55ffad5b0241c90caeb7f0433ad62dd43463a4c52c25c59f7357681cb586fc52e812e8173adc12cec9eff66d27d5f41e19d55f6c1fce12937,000527AA,2933
437,Europe/Bucharest,False,,2184,d68f0be8c6a90db8bbd0052fab0205ae,26eebaff,8b50b9aaf0ebd1dca3563a3d5ae941f2de705835e3a1ceb462467faea89ebd8fd469c8145dc76bac6ae75a4d70fc52c0f64bc91d85c870ba34e026eba4dc5627,00058920,2184
438,Europe/Budapest,False,,2368,e16f6fc802dc2011572454e02567fa01,47aecd4c,8cb9f3e8a8e2539e13e007c1964a4a6ed1d396ce6aa49544c6192c40575081347ed9bb515a5d3e207fae397282f1ff57ec25448ecca0c4b4af92def6b2aa31e3,000591A8,2368
439,Europe/Busingen,False,,1909,2da42297275a23b4a6b99702cf995583,9d01cc79,68837833426fe905b74a9364496c572e3157c0c7cf179688e7facb7370fab3f01edf08421998dade9023c6bc17ab9b84eef2154a0ec83a8f7b85992bc9b88d1b,00059AE8,1909
440,Europe/Chisinau,False,,2390,2ac49d4e17a9f1e8db6015a250374d0f,670f8d65,25f4a56c89032dd4a0b8ddfc3063784bd2e94114c316e396196d330edd22b4e39f45681d019f2ee53f49469c74ebf6e342001d52449f9389c2095ca2fbfa94b1,0005A25D,2390
441,Europe/Copenhagen,True,Arctic/Longyearbyen,2298,7db6c3e5031eaf69e6d1e5583ab2e870,30969134,688eaa6d3001192addaa49d4e15f57aa59f3dd9dc511c063aa2687f36ffd28ffef01d937547926be6477bba8352a8006e8295ee77690be935f76d977c3ea12fe,000392F9,2298
442,Europe/Dublin,True,Eire,3492,4fdb09e3889842e7fdfe310973ca5a60,8f1fe292,10502e4301fc4898b5a7a84ca649a08ebfc744c3fb560dcf9fe0fc4546995992a4cab6e0d3af30f99ab85ae4f12cac6212fb6575957e862eebf217a497ed4feb,000544A0,3492
443,Europe/Gibraltar,False,,3068,101a6f261011f565dd7be88c2ce11641,fff149aa,449934f230892db1ca7f91c4acf50f1b472918f80b9b16cd7bd1046db2fd107ebdc9bfdc2c31172e5eab0d2202b1c5f2635ea0668362db8e2e3ba94a4576c62f,0005ABB3,3068
