EntryNo,tzname,IsDuplicate,OriginalTzNameIfDuplicate,FileSize,MD5Hash,CRC32Hash,SHA512Hash,FinalFileOffset,FinalFileLength
107,America/Denver,False,,1042,c1b9655d5b1ce7fbc9ac213e921acc88,40948056,2a188d7bcc48acc17b229e50e136b55dbc59058ae9be6ef217238cd1b6c0a59817954ab98817d2e2ff836a6f7d7461be5850ad73a9096d7a14ce9fd8c2a3c29a,00010E3D,1042
108,America/Detroit,False,,899,48c96bff46ef373ce5d759dc4a4d2de2,03e7143e,1de4c446bd95e7cbbe535b54049aaa4f6d4ab8971ee23c1797ce1759ddd7e0e50af1feb88d1a6899a912cbd56153f6672f5da7617746ec0ecb1c6ed7146815be,0001124F,899
109,America/Dominica,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
110,America/Edmonton,False,,970,beb91df50b24718aed963a509c0c2958,dc07077b,6cf096f7cd01fe83e8a49539667f21137fe36b473e2f92ffb78316026eaadf2723cdf66780fb24b661cb5acf0d388ed0526db794cdb8c7af8da1f5b8660ca5b3,000115D2,970
111,America/Eirunepe,False,,436,fefe5ae6107231a3f738b36d95153f77,75eab073,15740107971f35452b60ffdbdc2de6f6becbae74849b2fddf0a20c6ac924c02fe9ff2658624c5c5513735901be5af18672025bb801cd83904c4ea22d4d88d1e4,0001199C,436
112,America/El_Salvador,False,,176,ec589bada56b3352067a359694896292,bfc124ea,2529a890ede0d1907300278a53af8f740389eda012f9e6d84426022ad6f99ab2bf49af7043b9a13b4ec5f82ea40f9f6d1bc94bc671dc2dca31f145043e17df68,00011B50,176
113,America/Ensenada,False,,1079,6583b73702360a037a332ba046dcc1cd,e4554f9b,27324fb5a32c33663bb9063818814d6938fc5426205a3adf1af99dac763f7bc9157cfaed75e0052d4a7ddade5d7eb313f8bb87e4da306ad6d5b497ed64bde322,00011C00,1079
114,America/Fort_Nelson,False,,1448,0998859e2d38d079cc1a3429aa428db4,6d0d40f6,96bd6330cdaed91929264e807ff26654cbedf00ec8e644288054bf0dc76bbc31a2ffc26f03386c509007670af8a1e3e2bb214ad3f5fb064a8c063574f0f425db,00012037,1448
115,America/Fort_Wayne,False,,531,9208172103191bf0d660e0023b358ea1,c97bb670,013be7c175dba66510fbd2972e0d4b76b7073a079aaed9e0a454753dc5e18fb1133b2947c48bd7e1cfa70820b397af6ff49b41434a4909906f87a8c91b853178,000125DF,531
116,America/Fortaleza,False,,484,c72cd4fac2e9b8659f6b5bb2392b9ae5,de5a11b4,77a73cc14523d3f969c2a980d008467de931f4416af523ad3b17beb6c4728983f4fd5224a53981d0faa05b7cd2be52947cb49910560e499ed03cfb3cb11cae3b,000127F2,484
117,America/Glace_Bay,False,,880,8f9746ead1fc03c962cdd7ddacde663d,4bc7944d,e95df3641a9d0454c845642ee6b71ddd5e8139124d58bdae4d02a3a46db7d23bdd666ded70c0c6a1d308d1a79b97d1ebab9a79d062d4c86c73feda1c4ffb95d7,000129D6,880
118,America/Godthab,False,,965,2d1f992b4b2db0d5b93386a2df8579fe,1476f97d,3c431540e307b4388aec2870ffbf12298c49c19e0df00a9011afd50eae8af014f750accb3385e02e862c0c3a5f648e263514ff99c28346453c683dccc0297249,00012D46,965
119,America/Goose_Bay,False,,1580,dc00543b628bf4458546124a642c9ac3,d1f685db,feaa56cac0d9380394bdfef79ba7532a678cceb387b5dc679861d2a246368b2cb8dab6b8f2a5da3e89eb6341617b839955e8c95dbf6edafa4efedc188e8113e1,0001310B,1580
120,America/Grand_Turk,False,,853,eac76eb95be7b5cc25a41e0485b58c41,d049c9e3,040c55236b5837ab6b2e813ced62df6138eedf3e86dbd6d64666afe9078ff3dcfb176805355dd6bd5502aa9d9ca6dd48b52f289eeed969ddc7a7370f5e8a95a2,00013737,853
121,America/Grenada,True,America/Anguilla,177,92d3b867243120ea811c24c038e5b053,3b2ac971,1eee8298dffa70049439884f269f90c0babcc8e94c5ccb595f12c8cfe3ad12d52b2d82a5853d0ff4a0e4d6069458cc1517b7535278b2fdef145e024e3531daad,0000A89A,177
